"告示番号※2",施設名,医療機関コード,都道府県,病院類型,DPC算定病床数,DPC算定病床の入院基本料,"DPC算定病床割合※3","精神病床数※4",療養病床数,結核病床数,"病床総数※5"
1,札幌医科大学附属病院,0119385,北海道,平成15年度DPC参加病院,890,特定機能7対1,94.9%,42,0,6,938
2,北海道大学病院,8010016,北海道,平成15年度DPC参加病院,874,特定機能7対1,92.4%,72,0,0,946
3,旭川医科大学病院,8010214,北海道,平成15年度DPC参加病院,569,特定機能7対1,94.5%,33,0,0,602
4,弘前大学医学部附属病院,8010221,青森,平成15年度DPC参加病院,595,特定機能7対1,93.6%,41,0,0,636
5,岩手医科大学附属病院,0113501,岩手,平成15年度DPC参加病院,1088,特定機能7対1,93.3%,78,0,0,1166
6,東北大学病院,8010146,宮城,平成15年度DPC参加病院,1216,特定機能7対1,93.0%,70,0,0,1308
7,秋田大学医学部附属病院,8010046,秋田,平成15年度DPC参加病院,535,特定機能7対1,93.7%,36,0,0,571
8,国立大学法人山形大学医学部附属病院,6010021,山形,平成15年度DPC参加病院,585,特定機能7対1,93.6%,40,0,0,625
9,公立大学法人福島県立医科大学附属病院,0116930,福島,平成15年度DPC参加病院,715,特定機能7対1,91.9%,49,0,14,778
10,筑波大学附属病院,5110051,茨城,平成15年度DPC参加病院,759,特定機能7対1,94.9%,41,0,0,800
11,自治医科大学附属病院,5210074,栃木,平成15年度DPC参加病院,1052,特定機能7対1,93.4%,56,0,0,1126
12,獨協医科大学病院,5210173,栃木,平成15年度DPC参加病院,1125,特定機能7対1,96.4%,42,0,0,1167
13,国立大学法人群馬大学医学部附属病院,7010016,群馬,平成15年度DPC参加病院,683,特定機能7対1,94.5%,40,0,0,723
14,埼玉医科大学病院,2401966,埼玉,平成15年度DPC参加病院,948,特定機能7対1,87.4%,105,0,0,1085
15,防衛医科大学校病院,9900069,埼玉,平成15年度DPC参加病院,816,特定機能10対1,96.9%,26,0,0,842
16,千葉大学医学部附属病院,9210014,千葉,平成15年度DPC参加病院,728,特定機能7対1,94.2%,45,0,0,773
17,東京慈恵会医科大学附属病院,0310243,東京,平成15年度DPC参加病院,1026,特定機能7対1,95.4%,49,0,0,1075
18,東京医科大学病院,0415018,東京,平成15年度DPC参加病院,988,特定機能7対1,97.3%,27,0,0,1015
19,東京女子医科大学病院,0415042,東京,平成15年度DPC参加病院,1358,特定機能7対1,95.4%,65,0,0,1423
20,慶應義塾大学病院,0415067,東京,平成15年度DPC参加病院,1028,特定機能7対1,97.1%,31,0,0,1059
21,日本医科大学付属病院,0510347,東京,平成15年度DPC参加病院,970,特定機能7対1,96.8%,32,0,0,1002
22,順天堂大学医学部附属順天堂医院,0514836,東京,平成15年度DPC参加病院,1005,特定機能7対1,98.5%,15,0,0,1020
23,昭和大学病院,0915413,東京,平成15年度DPC参加病院,853,特定機能7対1,100.0%,0,0,0,853
24,東邦大学医療センター大森病院,1113356,東京,平成15年度DPC参加病院,936,特定機能7対1,96.3%,36,0,0,972
25,日本大学医学部附属板橋病院,1911502,東京,平成15年度DPC参加病院,972,特定機能7対1,94.6%,43,0,12,1027
26,帝京大学医学部附属病院,1919588,東京,平成15年度DPC参加病院,1107,特定機能10対1,95.9%,47,0,0,1154
27,杏林大学医学部付属病院,3619285,東京,平成15年度DPC参加病院,1014,特定機能7対1,96.9%,32,0,0,1046
28,独立行政法人国立がん研究センター中央病院,8616104,東京,平成15年度DPC参加病院,600,特定機能7対1,100.0%,0,0,0,600
29,東京医科歯科大学医学部附属病院,8814774,東京,平成15年度DPC参加病院,712,特定機能7対1,93.3%,41,0,10,763
30,東京大学医学部附属病院,8814790,東京,平成15年度DPC参加病院,1150,特定機能7対1,95.0%,60,0,0,1210
31,公立大学法人　横浜市立大学附属病院,0803304,神奈川,平成15年度DPC参加病院,585,特定機能7対1,92.7%,30,0,16,631
